	Ref	Google Before	Google After	TER
55	트리스턴(28)은 전 연인인 클로이가 최근 올린 셀피에 민망한 댓글을 달며 끝까지 싸워보겠다고 포기를 모르는 모습을 보이고 있다.	그러나 28세의 트리스탄은 싸우지 않고 포기하기를 거부하고 있습니다. 그의 전 남자친구의 최근 셀카에 대해 말도 안되는 칭찬을 남겼습니다.	그러나 28세의 Tristan은 싸우지 않고 포기하기를 거부하고 있습니다. 그의 전 남자친구의 최근 셀카에 대해 말도 안되는 칭찬을 남겼습니다.	0.0556
56	모자이크 처리된 사진에 클로이가 떠오르는 태양 앞에 서 있고 한 아이의 엄마라는 캡션과 함께 “네 모든 꿈을 펼칠 수 있는 용기를 가지길.”이라는 설명을 달았다.	"흐릿하게 찍힌 사진에서 클로이는 떠오르는 태양 앞에 서 있으며 한 엄마는 ""당신이 꿈꾸는 모든 꿈을 탐험할 용기를 가지길 바랍니다""라는 캡션을 남겼다."	"흐릿하게 찍힌 사진에서 클로이는 떠오르는 태양 앞에 서 있으며 한 엄마는 ""당신이 꿈꾸는 모든 꿈을 탐험할 용기를 가지길 바랍니다""라는 캡션을 남겼다."	0.0
57	트리스턴은 공개적으로 이렇게 코멘트를 남겼다. “태양이 미녀 [다이아몬드 이모티콘] 앞에서 빛나고 있네.”	"공개적으로 논평하면서 Tristan은 ""태양은 아름다운 [다이아몬드 이모티콘]에 밝게 빛나고 있습니다.""라고 썼습니다."	"공개적으로 논평하면서 Tristan은 ""태양은 아름다운 [다이아몬드 이모티콘]에 밝게 빛나고 있습니다.""라고 썼습니다."	0.0
58	팬들은 이 댓글에 분노했고, 한 팬은 이렇게 답글을 달았다. “응, 네가 떨어뜨린 다이아몬드.”	"팬들은 이 발언에 분노했고 한 사람은 ""네, 당신이 떨어뜨린 다이아몬드""라고 답했다."	"팬들은 이 발언에 분노했고 한 사람은 ""네, 당신이 떨어뜨린 다이아몬드""라고 답했다."	0.0
59	트리스턴은 클로이가 임신 9개월일 때 바람을 피웠다.	Tristan은 Khloe가 임신 9개월이었을 때 바람을 피웠습니다.	Tristan은 Khloe가 임신 9개월이었을 때 바람을 피웠습니다.	0.0
60	또 다른 팬은 이렇게 충고했다. “그냥 인스타그램을 닫아라.”	"또 다른 사람은 ""그냥 인스타그램에서 나가라""고 조언했다."	"또 다른 사람은 ""그냥 인스타그램에서 나가라""고 조언했다."	0.0
61	세 번째 댓글에는 이렇게 써 있었다. “속지 마, 클로이.”	"세 번째 사람은 이렇게 썼습니다. ""Khloe에 속지 마세요."""	"세 번째 사람은 이렇게 썼습니다. ""Khloe에 속지 마세요."""	0.0
62	이는 트리스턴이 리얼리티쇼 스타인 클로이가 게스진의 모델로 나온 사진 밑에 하트 눈 이모티콘과 함께 “완벽”이라는 댓글을 단 지 불과 며칠 안 돼 일어난 일이다.	"Tristan이 ""Perfection""과 함께 ""Perfection""이라는 글과 함께 리얼리티 스타 중 하나 아래에 있는 하트 아이 이모지, 그리고 그녀가 추측 청바지를 위한 모델링을 본 다른 사진들에 대해 쓴 후입니다."	"Tristan이 ""Perfection""과 함께 ""Perfection""이라는 글과 함께 리얼리티 스타 중 하나 아래에 있는 하트 아이 이모지, 그리고 그녀가 추측 청바지를 위한 모델링을 본 다른 사진들에 대해 쓴 후입니다."	0.0
63	이달 초, 더썬은 트리스턴이 클로이의 마음을 돌리려고 경매에서 40만 파운드를 주고 포르쉐를 샀다고 폭로했다. 여기에는 드레이크의 조언이 있었다.	이달 초 The Sun은 Tristan이 Drake의 조언에 따라 Khloe를 되찾기 위해 400,000파운드의 포르쉐를 샀다고 밝혔습니다.	이달 초 The Sun은 Tristan이 Drake의 조언에 따라 Khloe를 되찾기 위해 400,000파운드의 포르쉐를 샀다고 밝혔습니다.	0.0
64	그리고나서 트리스턴은 올해 초 카다시안 가족과 친구인 조딘 우즈와 또다시 바람을 피워 비난을 받았다.	그는 올해 초 카다시안의 가족 친구인 조딘 우즈와 바람을 피운 혐의로 다시 기소됐다.	그는 올해 초 카다시안의 가족 친구인 조딘 우즈와 바람을 피운 혐의로 다시 기소됐다.	0.0
65	그는 자신의 친구인 래퍼 드레이크가 ‘전력 투구’하라는 말에 자극을 받아 (추측상) 포르쉐 911 선물이라는 비굴한 선택을 했다.	"그는 랩퍼 친구의 ""파워 무브""를 요구한 후 911로 생각되는 비통한 선물로 결정했습니다."	"그는 랩퍼 친구의 ""파워 무브""를 요구한 후 911로 생각되는 비통한 선물로 결정했습니다."	0.0
66	그 결과 지인들에 따르면, 트리스턴이 클로이의 멘션에서 열린 ‘타코 튜스데이’ 저녁파티에 초대를 받았고 클로이와 그녀의 17개월 된 딸 트루와 재결합하는 데 한 걸음 더 다가가게 되었다.	결과적으로 친구는 Tristan이 Khloe의 저택에서 'Taco Tuesday' 저녁 식사에 초대를 받아 리얼리티 스타와 17개월 된 딸 True와의 재회에 한 걸음 더 가까이 다가갔다고 말했습니다.	결과적으로 친구들은 Tristan이 Khloe의 맨션에서 'Taco Tuesday' 저녁 식사에 초대받기까지 했다고 말했습니다. 이로써 리얼리티 스타와 17개월 된 딸 True와의 재회에 한 발 더 다가서게 되었습니다.	0.36
67	소식통에 따르면,트리스턴은 카다시안의 품으로 돌아가기 위한 전략을 세우는 데 있어 자신의 절친인 드레이크를 조언자로 이용하고 있다.	"한 소식통은 ""Tristan은 Drake와 좋은 친구이며 Kardashian 폴드로의 복귀를 계획할 때 그를 공명판으로 사용하고 있습니다."	"한 소식통은 ""Tristan은 Drake와 좋은 친구이며 Kardashian 폴드로의 복귀를 계획할 때 그를 공명판으로 사용하고 있습니다.""라고 말했습니다."	0.125
68	클로이는 트리스턴이 저지른 부정으로 상심했다.	Khloe는 Tristan의 불충실함에 마음이 상했습니다.	Khloe는 Tristan의 불충실함에 마음이 상했습니다.	0.0
69	드레이크는 트리스턴에게 클로이의 마음을 돌리고 싶다면 죽을 힘을 다해야 한다고 말했다.”	"""Drake는 Khloe를 되찾고 싶다면 모든 수단을 동원하라고 말했습니다."	"""Drake는 Khloe를 되찾고 싶다면 모든 수단을 동원하라고 그에게 말했습니다."""	0.2222
70	가벼운 저녁식사 초대를 번지르르한 슈퍼카와 바꾸는 게 비합리적으로 보일 수도 있다.”	"""캐주얼한 저녁 식사에 초대하는 것은 세련된 슈퍼카를 위한 합리적인 거래처럼 들리지 않을 수 있습니다."	"""캐주얼한 저녁 식사에 초대하는 것은 세련된 슈퍼카를 위한 합리적인 거래처럼 들리지 않을 수 있습니다."""	0.0714
71	"“그러나 트리스턴이 한 짓이 있기 때문에 클로이가 레드카펫이라도 깔아줄 거라고 기대할 수는 없는 일이다."""	"""하지만 Tristan이 한 일 후에 그는 Khloe가 그를 위해 레드 카펫을 깔기를 기대할 수 없습니다."""	"""하지만 Tristan이 한 일 후에 그는 Khloe가 그를 위해 레드 카펫을 깔기를 기대할 수 없습니다."""	0.0
72	이 커플은 17개월 된 트루의 엄마와 아빠다.	쌍은 17 개월 True의 엄마와 아빠입니다.	부부는 17개월 된 True의 엄마와 아빠입니다.	0.5
73	새로 나온 4차원 가족 카다시안 따라잡기 시즌 16 예고편에서 클로이 카다시안이 연인인 트리스턴 톰프슨이 바람을 피웠다며 펑펑 울며 소리지르는 모습이 나온다.	Khloe Kardashian은 새로운 Keeping Up With Kardashians 시리즈 16 예고편에서 바람 피는 남자 친구 Tristan Thompson에게 눈물과 비명을 질렀습니다.	Khloe Kardashian은 새로운 Keeping Up With Kardashians 시리즈 16 예고편에서 바람을 피우는 남자친구 Tristan Thompson에게 눈물을 흘리며 비명을 지릅니다.	0.3684
74	트리스턴이 “가족을 되찾겠다”고 맹세하며 그리스로 로맨틱한 여행을 떠나는 데 클로이를 초대할 계획이라는 소식을 지난 달 더썬이 폭로했었다.	Sun은 지난달 Tristan이 Khloe를 그리스로 로맨틱한 여행에 초대할 계획이라고 밝혔습니다.	Sun은 지난달 Tristan이 Khloe를 그리스로 로맨틱한 여행에 초대할 계획이라고 밝혔습니다.	0.0
75	클로이는 만나는 내내 계속된 트리스턴의 부정 행위에 상심했지만, 올해 초에도 딸 트루의 돌잔치에 그를 여전히 초대했다.	Khloe는 Tristan의 반복되는 불륜으로 인해 마음이 상했지만 여전히 올해 초 딸 True의 첫 번째 생일 파티에 그를 초대했습니다.	Khloe는 Tristan의 반복되는 불륜으로 인해 마음이 상했지만 여전히 올해 초 딸 True의 첫 번째 생일 파티에 그를 초대했습니다.	0.0
76	그러나 카다시안 가족의 예능 프로그램인 4차원 가족 카다시안 따라잡기를 보면 그 후 클로이가 트리스턴의 부정을 받아들이기 힘들다며 눈물을 보이는 것으로 사건이 마무리되었다.	그러나 스타의 가족 리얼리티 쇼 Keep Up With The Kardashians는 나중에 Khloe가 그의 외도를 받아들이기 위해 고군분투하면서 눈물을 흘리며 이벤트가 끝났다는 것을 보여주었습니다.	그러나 스타의 가족 리얼리티 쇼 Keep Up With The Kardashians는 나중에 Khloe가 그의 외도를 받아들이기 위해 고군분투하면서 눈물을 흘리며 이벤트가 끝났다는 것을 보여주었습니다.	0.0
77	사진 속의 갓 태어난 코뿔소, 어미에게 코 비비며 새 보금자리를 돌아다니는 사랑스러운 모습 담겨	갓 태어난 코뿔소가 어미를 재우고 새 집을 탐험하는 모습을 담은 사랑스러운 사진들	사랑 스럽다 사진들은 새로운 태어난 Rhino Nuzzling 그녀의 어머니를 보여주고 새로운 가정을 탐험합니다.	1.0
78	새끼 코뿔소 스텔라가 이 달 초 옥스퍼드셔 주에 위치한 코츠월드 와일드라이프 파크에서 태어났다. 부모인 몬티와 루비의 첫 암컷 새끼다.	아기 스텔라는 이달 초 옥스퍼드셔주 코츠월드 야생동물 공원에서 세계로 환영받았으며 부모 몬티와 루비 사이에서 태어난 첫 여성입니다.	베이비 스텔라는 이번 달 이전에 Cotswold Wildlife Park, Oxfordshire, Oxfordshire에서 세계로 환영을 받았으며 부모님 님과 루비로 태어난 최초의 여성입니다.	0.7895
79	건강한 상태로 잘 자라고 있는 이 어린 코뿔소가 울타리 주변을 돌아다니다가 짚으로 만든 침대에서 어미와 함께 휴식을 취하는 모습을 볼 수 있다.	건강하고 잘 수유중인 젊은이는 짚 침대에서 어머니와 함께 쉬기 전에 자신의 울타리에 대해 궁금해하는 것을 볼 수 있습니다.	건강하고 간호하는 젊은이들은 짚의 침대에서 그녀의 어머니와 함께 쉬기 전에 그녀의 인클로저에 대해 궁금해 할 수 있습니다.	0.5882
80	어미인 루비는 수컷인 몬티와 짝짓기하여 이 공원 최초의 코뿔소 새끼를 잉태하길 바라는 기대 속에서 낸시라는 다른 암컷 코뿔소와 함께 2009년 처음으로 와일드 파크에 입양됐다.	마더 루비는 2009년 낸시라는 또 다른 여성과 함께 야생 동물 공원에 합류하여 몬티와 함께 ​​공원 최초의 송아지를 낳을 수 있기를 희망했습니다.	어머니 루비 (Mother Ruby)는 2009 년에 야생 동물 공원에 낸시라는 다른 여성과 함께 낸시 (Nancy)라고 불리는 낸시가 몬티로 송아지가 송아지 송아지를 생산할 것입니다.	0.7826
81	그 후 낸시는 2013년에 아스트리드라는 암컷 코뿔소를 낳았으며, 스텔라는 49년의 역사를 자랑하는 이 공원에서 태어난 세 번째 암컷 코뿔소 새끼이다.	그런 다음 Nancy는 2013년 Astrid라는 이름의 암컷을 낳았습니다. Stella는 49년 동안 공원에서 태어난 세 번째 암컷 송아지였습니다.	그런 다음 낸시는 2013 년 아스트리드라는 여성을 낳았으며 스텔라가 49 년 역사에서 공원에서 태어난 세 번째 여성 송아지가되었습니다.	0.6667
82	코츠월드 와일드라이프 파크의 제이미 크레이그 큐레이터는 “현재 우리 공원의 코뿔소 무리는 매우 성공적이다.”라고 말했다.	Cotswold Wildlife Park의 큐레이터인 Jamie Craig는 다음과 같이 말했습니다: '우리는 현재 코뿔소 무리에서 엄청난 성공을 거두었습니다.	"Cotswold Wildlife Park의 큐레이터 인 Jamie Craig는 ""우리는 현재 Rhino 무리에서 엄청난 성공을 거두었습니다."""	0.5714
83	“스텔라는 낸시와 루비 사이에서 태어난 6번째 새끼로, 수컷 코뿔소인 몬티는 훌륭한 아빠임을 증명했다.”	Stella는 Nancy와 Ruby의 여섯 번째 아이이며 우리 황소 Monty는 훌륭한 아빠임이 증명되었습니다.	"""Stella는 낸시와 루비에서 여섯 번째 젊은이이고 황소, 몬티, 훌륭한 아빠 인 것으로 판명되었습니다."""	0.8462
